ಅಂಕ	ಅಂಕ\nಭಾಗ\n ದ್ರೋಣ ಪರ್ವ,5,40
ಅಂಕೆ	ಅಂಕೆ\nಸ್ವಾಧೀನ\n ಆದಿ ಪರ್ವ,7,74
ಅಂಕ	ಅಂಕ\nಪಕ್ಷ\n ಆದಿ ಪರ್ವ,7,34
ಅಂಕ	ಅಂಕ\nಯುದ್ಧ\n ಗದಾ ಪರ್ವ,6,12
ಅಂಕ	ಅಂಕ\nತೊಡೆ\n ಉದ್ಯೋಗ ಪರ್ವ,5,5
ಅಂಕಕೆ	ಅಂಕಕೆ\nಹೋರಾಟಕ್ಕೆ\n ಸಭಾ ಪರ್ವ,2,91
ಅಂಕಣೆ	ಅಂಕಣೆ\nಕುದುರೆಯ ಮೇಲಕ್ಕೆ ಹತ್ತಲು ಕಾಲಿಡಲು ಅನುಕೂಲವಾಗುವಂತೆ ಜೀನಿಗೆ ಅಳವಡಿಸಿದ ಬಳೆ\n ಗದಾ ಪರ್ವ,2,13
ಅಂಕರಿಸಲು	ಅಂಕರಿಸಲು\nಕಾಣು\n ಸಭಾ ಪರ್ವ,1,80
ಅಂಕಿಸು	ಅಂಕಿಸು\nಗುರುತಿಸು\n ಉದ್ಯೋಗ ಪರ್ವ,4,21
ಅಂಕುರ	ಅಂಕುರ\nಮೊಳಕೆ/ಬೆಳೆ\n ಉದ್ಯೋಗ ಪರ್ವ,4,107
ಅಂಕುರಿಸು	ಅಂಕುರಿಸು\nಮೊಳಕೆಗೊಳ್ಳು\n ವಿರಾಟ ಪರ್ವ,7,20
ಅಂಕುರಿಸು	ಅಂಕುರಿಸು\nಮೊಳೆ\n ಆದಿ ಪರ್ವ,18,20
ಅಂಕುಶ	ಅಂಕುಶ\nಆನೆಯನ್ನು ನಿಯಂತ್ರಿಸಲು ಉಪಯೋಗಿಸುವ ಕಬ್ಬಿಣದ ತುಂಡು\n ಗದಾ ಪರ್ವ,2,38
ಅಂಕುಶ	ಅಂಕುಶ\nಆನೆಯನ್ನು ತಹಬಂದಿಗೆ ತರಲು ಬಳಸುವ ಚೂಪಾದ ಕೋಲು\n ವಿರಾಟ ಪರ್ವ,10,34
ಅಂಕುಶವಾಳೆ	ಅಂಕುಶವಾಳೆ\nಅಂಕುಶದ ಕತ್ತಿ\n ಕರ್ಣ ಪರ್ವ,2,17
ಅಂಗ	ಅಂಗ\nಅವಯವ\n ಆದಿ ಪರ್ವ,20,50
ಅಂಗಚಿತ್ತ	ಅಂಗಚಿತ್ತ\nಅಂಗವಸ್ತ್ರ\n ಗದಾ ಪರ್ವ,4,53
ಅಂಗಚ್ಛವಿ	ಅಂಗಚ್ಛವಿ\nದೇಹಕಾಂತಿ\n ಅರಣ್ಯ ಪರ್ವ,6,73
ಅಂಗದ	ಅಂಗದ\nತೋಳ್ಬಳೆ ಝಳವಟಿಗೆ\n ಸಭಾ ಪರ್ವ,5,43
ಅಂಗದ ಸಿರಿ	ಅಂಗದ ಸಿರಿ\nಶಾರೀರಕ ವೈಭವದ ಸಿರಿ\n ಭೀಷ್ಮ ಪರ್ವ,3,62
ಅಂಗವಟ್ಟ	ಅಂಗವಟ್ಟ\nಸೌಷ್ಠವ\n ಆದಿ ಪರ್ವ,13,50
ಅಂಗವಟ್ಟ	ಅಂಗವಟ್ಟ\nಶರೀರ.\n ಕರ್ಣ ಪರ್ವ,6,16
ಅಂಗವಟ್ಟ	ಅಂಗವಟ್ಟ\nಮೈಯ ಸೌಂದರ್ಯ\n ಉದ್ಯೋಗ ಪರ್ವ,9,68
ಅಂಗವಟ್ಟ	ಅಂಗವಟ್ಟ\nಹೊದೆಯುವ ವಸ್ತ್ರ\n ಅರಣ್ಯ ಪರ್ವ,11,20
ಅಂಗವಟ್ಟ	ಅಂಗವಟ್ಟ\nದೇಹಸೌಂದರ್ಯ\n ವಿರಾಟ ಪರ್ವ,2,6
ಅಂಗವಣೆ	ಅಂಗವಣೆ\nಉದ್ದೇಶ\n ಅರಣ್ಯ ಪರ್ವ,5,25
ಅಂಗವಣೆ	ಅಂಗವಣೆ\nಧೈರ್ಯ\n ವಿರಾಟ ಪರ್ವ,5,29
ಅಂಗವಲ್ಲ	ಅಂಗವಲ್ಲ\nನನ್ನ ವಿಭಾಗಕ್ಕೆ ಸೇರುವುದಿಲ್ಲ\n ದ್ರೋಣ ಪರ್ವ,1,31
ಅಂಗವಿಸಿ	ಅಂಗವಿಸಿ\nಸಾಹಸಮಾಡಿ\n ಭೀಷ್ಮ ಪರ್ವ,9,20
ಅಂಗವಿಸು	ಅಂಗವಿಸು\nಸಿದ್ಧವಾಗು\n ವಿರಾಟ ಪರ್ವ,8,80
ಅಂಗವಿಸುವವರು	ಅಂಗವಿಸುವವರು\nಎದುರಿಸುವವರು\n ದ್ರೋಣ ಪರ್ವ,2,78
ಅಂಗಸ್ವೇದ ಜಲ	ಅಂಗಸ್ವೇದ ಜಲ\nಬೆವರು\n ಅರಣ್ಯ ಪರ್ವ,6,37
ಅಂಗಹಾರ	ಅಂಗಹಾರ\nಅಭಿನಯದ ಮುದ್ರೆ\n ಆದಿ ಪರ್ವ,13,25
ಅಂಗಾರಕಾರಕ	ಅಂಗಾರಕಾರಕ\nಇದ್ದಿಲು ಮಾರುವವ\n ಉದ್ಯೋಗ ಪರ್ವ,3,29
ಅಂಗುಲಿ	ಅಂಗುಲಿ\nಬೆರಳು\n ಗದಾ ಪರ್ವ,11,17
ಅಂಗೈಸಲು	ಅಂಗೈಸಲು\nಯುದ್ಧ ಮಾಡಲು\n ದ್ರೋಣ ಪರ್ವ,8,24
ಅಂಗೈಸಿದನೆ	ಅಂಗೈಸಿದನೆ\nಕೈಹಾಕಿದನೆ\n ಭೀಷ್ಮ ಪರ್ವ,6,29
ಅಂಗೈಸಿದರು	ಅಂಗೈಸಿದರು\nಸಮ್ಮತಿಸಿದರು\n ಭೀಷ್ಮ ಪರ್ವ,8,30
ಅಂಗೈಸು	ಅಂಗೈಸು\nನಿರ್ವಹಿಸು\n ಸಭಾ ಪರ್ವ,2,15
ಅಂಗೈಸು	ಅಂಗೈಸು\nಮುತ್ತಿಗೆಹಾಕು ರಭಸ\n ವಿರಾಟ ಪರ್ವ,9,5
ಅಂಗೈಸು	ಅಂಗೈಸು\nಯತ್ನಿಸು\n ಸಭಾ ಪರ್ವ,12,14
